multicast,aggregation,num_ps,num_workers,median,neg bar,pos bar
BW: 10Gbps, Striping: 0, Optimal Param Distribution: 1, On Same Rack: 1,,,
0 Multicast,1 Agg,,,,,
0,1,1,2,0.0,13.165,3.9748
0,1,1,4,6.393,6.393,6.4938
0,1,1,8,1.0753,16.0547,6.4294
0,1,1,16,0.0,3.0252,3.7808
0,1,1,32,0.1439,2.5132,2.1577
,,,,,,
0,1,2,2,0.0,10.9514,9.828
0,1,2,4,0.0,11.1753,10.3161
0,1,2,8,10.4007,11.9224,6.2138
0,1,2,16,9.5616,4.5002,4.0749
0,1,2,32,11.7494,2.2261,0.4554
,,,,,,
0,1,4,2,0.0,0.0,0.0
0,1,4,4,0.0,0.0,0.0
0,1,4,8,-1.1224,9.7768,9.003
0,1,4,16,6.1263,3.2271,12.3938
0,1,4,32,14.4335,1.8906,2.816
,,,,,,
0,1,8,2,0.0,0.0,0.0
0,1,8,4,0.0,0.0,0.0
0,1,8,8,0.0,2.5864,5.6477
0,1,8,16,4.9044,27.7287,0.713
0,1,8,32,10.4647,4.0018,1.3113
,,,,,,
1 Multicast,0 Agg,,,,,
1,0,1,2,-10.8424,2.6403,10.8424
1,0,1,4,-3.6244,4.3637,0.6022
1,0,1,8,-3.8478,0.8472,5.82
1,0,1,16,2.1138,0.4939,3.45
1,0,1,32,6.2156,1.0677,1.2561
,,,,,,
1,0,2,2,0.0,0.0,9.828
1,0,2,4,9.8196,12.0708,0.0423
1,0,2,8,2.9475,3.202,3.1525
1,0,2,16,6.5996,1.9926,4.2313
1,0,2,32,13.572,1.3139,1.2259
,,,,,,
1,0,4,2,0.0096,0.0001,0.0014
1,0,4,4,0.0096,0.0001,5.1819
1,0,4,8,-1.9175,5.0825,3.1215
1,0,4,16,1.7686,1.7969,10.8271
1,0,4,32,16.278,4.5671,2.9227
,,,,,,
1,0,8,2,0.0,0.0,0.0
1,0,8,4,0.0,0.0,0.0
1,0,8,8,5.1727,5.1727,0.475
1,0,8,16,-10.6464,13.5016,24.8878
1,0,8,32,9.1206,0.9308,0.9507
,,,,,,
1 Multicast,1 Agg,,,,,
1,1,1,2,0.0,13.4827,0.0
1,1,1,4,23.8867,3.8212,0.1396
1,1,1,8,53.0762,9.217,1.6707
1,1,1,16,73.432,1.4874,0.9393
1,1,1,32,86.143,3.1556,0.7458
,,,,,,
1,1,2,2,0.0,0.0,9.828
1,1,2,4,9.8196,12.0708,0.0423
1,1,2,8,25.8607,5.3419,7.702
1,1,2,16,56.2096,4.8242,1.7177
1,1,2,32,75.2445,2.4074,1.7718
,,,,,,
1,1,4,2,0.0096,0.0001,0.0014
1,1,4,4,0.0096,0.0001,5.1819
1,1,4,8,-1.9347,5.0653,6.8501
1,1,4,16,27.3408,1.295,8.0702
1,1,4,32,59.9863,6.924,0.8912
,,,,,,
1,1,8,2,0.0,0.0,0.0
1,1,8,4,0.0,0.0,0.0
1,1,8,8,5.1727,5.1811,0.475
1,1,8,16,-5.3126,21.6942,19.7174
1,1,8,32,32.0459,3.8946,1.0535
,,,,,,
multicast + aggregation vs. multicast info
1,1,1,2,0.0,0.0,9.7819
1,1,1,4,26.331,0.3526,0.3526
1,1,1,8,52.9055,6.5288,3.6398
1,1,1,16,72.8613,1.3786,0.2157
1,1,1,32,85.2574,3.1933,0.5726
,,,,,,
1,1,2,2,0.0,0.0,0.0
1,1,2,4,0.0,0.0,0.0
1,1,2,8,25.5819,10.2264,5.9631
1,1,2,16,53.009,4.3213,0.3116
1,1,2,32,71.0516,2.0093,1.9922
,,,,,,
1,1,4,2,0.0,0.0,0.0
1,1,4,4,0.0,0.0,0.0
1,1,4,8,0.0,0.0169,3.7567
1,1,4,16,26.0667,0.0341,0.344
1,1,4,32,52.9323,10.8086,0.3386
,,,,,,
1,1,8,2,0.0,0.0,0.0
1,1,8,4,0.0,0.0,0.0
1,1,8,8,0.0,0.0084,0.0
1,1,8,16,0.1905,14.9767,12.0459
1,1,8,32,25.9228,5.818,0.0967
,,,,,,
